Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
OpenMarkets Group,"Level 5, Suite 3/500 Collins St, Melbourne VIC 3000, Australia",-37.8176127,144.9574838,ChIJPfq-Xs9d1moRkPmf_ECZK5w,,,,null,null,null,,"Level 5, Suite 3/500 Collins St, Melbourne VIC 3000, Australia",-37.8176127,144.9574838
VentureCrowd,"L4/66 Hunter St, Sydney NSW 2000, Australia",-33.865967,151.21034,ChIJrQ1-viC8EmsRtIIcQqTa6tU,,,,null,null,null,,"L4/66 Hunter St, Sydney NSW 2000, Australia",-33.865967,151.21034
Equipsuper,"Level 12/330 Collins St, Melbourne VIC 3000, Australia",-37.8162807,144.9631714,ChIJGbQeghiuJwAR0hIePGWfnck,,,,null,null,null,,"Level 12/330 Collins St, Melbourne VIC 3000, Australia",-37.8162807,144.9631714
Oddup,"Cs Tower, Level 12, 50, Wing Lok St, Sheung Wan, Hong Kong",22.286301,114.151808,ChIJJZBYJnwABDQRghPYYjUo_Bc,,,,null,null,null,,"Cs Tower, Level 12, 50, Wing Lok St, Sheung Wan, Hong Kong",22.286301,114.151808
Sargon,"274, Jalan Sentosa, Taman Sri Sentosa Ii, 81000 Kulai, Johor, Malaysia",1.6601621,103.5880973,ChIJjQGZCrd52jER9vzyLyDJf9s,,,,null,null,null,,"274, Jalan Sentosa, Taman Sri Sentosa Ii, 81000 Kulai, Johor, Malaysia",1.6601621,103.5880973
Capital Partners Private Wealth Advisers,"392 Havelock Rd, Singapore 169663",1.2903,103.835175,ChIJe_DSbJ0Z2jERIFJj3M9y4so,,,,null,null,null,,"392 Havelock Rd, Singapore 169663",1.2903,103.835175
Financial Executive Women (FEW),"Level 26/44 Market St, Sydney NSW 2000, Australia",-33.8705665,151.2058579,ChIJsene3z6uEmsRD_1CDgQ_Vzc,,,,null,null,null,,"Level 26/44 Market St, Sydney NSW 2000, Australia",-33.8705665,151.2058579
PictureWealth,"30 Summers St, Perth WA 6004, Australia",-31.9447809,115.8786771,ChIJxRV9m9W6MioROAxHuAQoiIg,,,,null,null,null,,"30 Summers St, Perth WA 6004, Australia",-31.9447809,115.8786771
Beem It,null,null,null,null,,,,null,null,null,,null,null,null
OnePath,"347 Kent St, Sydney NSW 2000, Australia",-33.8684302,151.2044435,ChIJXf-UsziuEmsRUAvtTsa2ZCg,,,,null,null,null,,"347 Kent St, Sydney NSW 2000, Australia",-33.8684302,151.2044435
Vision Super,"6043A, Jln Siantan 1, Bandar Indahpura, 81000 Kulai, Johor, Malaysia",1.6540801,103.5960815,ChIJtT08F2x52jERPPfZYoN0FrI,,,,null,null,null,,"6043A, Jln Siantan 1, Bandar Indahpura, 81000 Kulai, Johor, Malaysia",1.6540801,103.5960815
Tradeplus24,null,null,null,null,,,,null,null,null,,null,null,null
IFX Payments,"Shardeloes Farm, Cherry Ln, Amersham HP7 0QF, United Kingdom",51.6642236,-0.6348614,ChIJEdCHdmxndkgRerldmkcEyyQ,,,,null,null,null,,"Shardeloes Farm, Cherry Ln, Amersham HP7 0QF, United Kingdom",51.6642236,-0.6348614
RI Advice Group,"Shop 9A, Ground Floor/454 Nepean Hwy, Frankston VIC 3199, Australia",-38.1431499,145.1205078,ChIJz6jS1t501moRJtJbGinI1yc,,,,null,null,null,,"Shop 9A, Ground Floor/454 Nepean Hwy, Frankston VIC 3199, Australia",-38.1431499,145.1205078
Live group,Singapore 239351,1.292233,103.838963,ChIJYSEEmvoX2jERTXdHpS0814w,,,,null,null,null,,Singapore 239351,1.292233,103.838963
ABC Bullion,"Level 6/88 Pitt St, Sydney NSW 2000, Australia",-33.866906,151.208786,ChIJOfm8OECuEmsRynzaj96o-bU,,,,null,null,null,,"Level 6/88 Pitt St, Sydney NSW 2000, Australia",-33.866906,151.208786
National Australia Bank - Nab,"396 Albany Hwy, Victoria Park WA 6100, Australia",-31.9742065,115.8974804,ChIJr49FcXa7MioRpg2NDgdELOo,,,,null,null,null,,"396 Albany Hwy, Victoria Park WA 6100, Australia",-31.9742065,115.8974804
CEG Direct Securities,null,null,null,null,,,,null,null,null,,null,null,null
Council of Queensland Insurance Brokers (CQIB),"320 Thynne Rd, Morningside QLD 4170, Australia",-27.451896,153.0727093,ChIJfXYVla1ZkWsR6FDCp_C8abw,,,,null,null,null,,"320 Thynne Rd, Morningside QLD 4170, Australia",-27.451896,153.0727093
Dorado Property,"level 41/225 George St, The Rocks NSW 2000, Australia",-33.8627631,151.2073772,ChIJDbECLkKuEmsRoMuzy92jfg4,,,,null,null,null,,"level 41/225 George St, The Rocks NSW 2000, Australia",-33.8627631,151.2073772
OurMoneyMarket,"Level 1/143 Hutt St, Adelaide SA 5000, Australia",-34.9303895,138.6118359,ChIJy7rewWmuEmsR_kUPqtmgKgc,,,,null,null,null,,"Level 1/143 Hutt St, Adelaide SA 5000, Australia",-34.9303895,138.6118359
IntegraPay,"2 Clunies Ross Ct, Eight Mile Plains QLD 4113, Australia",-27.5769984,153.0942525,ChIJywzDYRZbkWsRmVm-IlK0V0Y,,,,null,null,null,,"2 Clunies Ross Ct, Eight Mile Plains QLD 4113, Australia",-27.5769984,153.0942525
Australian Foundation Investment Company (AFIC),"101 Collins St, Melbourne VIC 3000, Australia",-37.8145874,144.9706666,ChIJNY_sJMhC1moRJ-XBEWyb_Ik,,,,null,null,null,,"101 Collins St, Melbourne VIC 3000, Australia",-37.8145874,144.9706666
"Tiger Capital Group, LLC","60 State St 11th Floor, Boston, MA 02109, United States",42.359273,-71.056263,ChIJN95m1YVw44kR9U897WmOABc,,,,null,null,null,,"60 State St 11th Floor, Boston, MA 02109, United States",42.359273,-71.056263
OMERS,"30 - 02 Raffles Quay, Singapore 048583",1.2817732,103.8514297,ChIJtWb-_Q0Z2jERuX9bMwUH5Mk,,,,null,null,null,,"30 - 02 Raffles Quay, Singapore 048583",1.2817732,103.8514297
ISS ESG,"Goethestraße 28, 80336 München, Germany",48.1360756,11.5583729,ChIJoezm01ffnUcRMXtjb0oUjuI,,,,null,null,null,,"Goethestraße 28, 80336 München, Germany",48.1360756,11.5583729
AMP,"Taman Kota Masai, 81700, Johor, Malaysia",1.4854696,103.9480344,ChIJdbnn4W9A2jERL6TO5vNjPs4,,,,null,null,null,,"Taman Kota Masai, 81700, Johor, Malaysia",1.4854696,103.9480344
CoinZoom,"4640 S Holladay Village Plaza Suite #206, Salt Lake City, UT 84117, United States",40.6688509,-111.8253648,ChIJSWs1ZidiUocRSXyewNlU1zQ,,,,null,null,null,,"4640 S Holladay Village Plaza Suite #206, Salt Lake City, UT 84117, United States",40.6688509,-111.8253648
