Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Integria Healthcare,"2/9 Tilli Pl, Welshpool WA 6106, Australia",-32.0007302,115.9322219,ChIJC-Chrhe8MioRqLek50dBpKQ,,,,null,null,null,,"2/9 Tilli Pl, Welshpool WA 6106, Australia",-32.0007302,115.9322219
Bicycle Network,"Sungei Serangoon Park Connector, Singapore",1.3858209,103.9076688,ChIJ97XwOBkW2jERCiB_3QrxKrI,,,,null,null,null,,"Sungei Serangoon Park Connector, Singapore",1.3858209,103.9076688
ExcelVite Sdn Bhd,"Lot 56442, 7.5 Mile, Jalan Ipoh, 31200 Chemor, Perak, Malaysia",4.6995314,101.1249348,ChIJvTN3xkDsyjEREuy6NyvnFHY,,,,null,null,null,,"Lot 56442, 7.5 Mile, Jalan Ipoh, 31200 Chemor, Perak, Malaysia",4.6995314,101.1249348
Ultimate Performance,"8 Cross Street Ground Floor, Singapore 048424",1.282444,103.849026,ChIJX0j3IAwZ2jERJ1fmJiOzhjY,,,,null,null,null,,"8 Cross Street Ground Floor, Singapore 048424",1.282444,103.849026
Keep it Cleaner,null,null,null,null,,,,null,null,null,,null,null,null
Live Life Get Active,"Brabham WA 6055, Australia",-31.8230636,115.9668051,ChIJRzw4-762MioRjhe_GqfilDI,,,,null,null,null,,"Brabham WA 6055, Australia",-31.8230636,115.9668051
Your Tea,"1 Irving Pl, #01-29 The Commerze Building, Singapore 369546",1.3361782,103.8864248,ChIJq1V7YLAX2jERxAj08zI360g,,,,"Hong Kong, China, -  Melbourne, null, null, AU",-25.574999,134.3547,,"Hong Kong, China, -  Melbourne, null, null, AU",-25.574999,134.3547
Advanced Physiotherapy and Injury Prevention,"335 Hillsborough Rd, Warners Bay NSW 2282, Australia",-32.963097,151.65823,ChIJQ3GG3q09c2sR8fJOHKlrNAs,,,,null,null,null,,"335 Hillsborough Rd, Warners Bay NSW 2282, Australia",-32.963097,151.65823
Yoga Studio,"47, Jalan Kebudayaan 2, Taman Universiti, 81300 Skudai, Johor, Malaysia",1.5427769,103.632128,ChIJ9z_a6gh02jERnrk1x2McGy8,,,,null,null,null,,"47, Jalan Kebudayaan 2, Taman Universiti, 81300 Skudai, Johor, Malaysia",1.5427769,103.632128
Science Training Pty Ltd,"2 Science Park Dr, Singapore 118222",1.2905916,103.7851284,ChIJ0ZODzVQa2jERZZIwbbUaYYg,,,,null,null,null,,"2 Science Park Dr, Singapore 118222",1.2905916,103.7851284
OPC Health,"151-159 Turner St, Port Melbourne VIC 3207, Australia",-37.8233642,144.9311676,ChIJ3b6RFoln1moRzUgxIvkfiTQ,,,,"55-57 Newton Rd, Wetherill Park, New South Wales, 2164, AU",-33.84907,151.13834,,"55-57 Newton Rd, Wetherill Park, New South Wales, 2164, AU",-33.84907,151.13834
RN Labs,"18/93 Rivergate Pl, Murarrie QLD 4172, Australia",-27.44741,153.104525,ChIJcX_J9C1ZkWsRAkE-S0epqqs,,,,null,null,null,,"18/93 Rivergate Pl, Murarrie QLD 4172, Australia",-27.44741,153.104525
Arthritis Australia,"9 Taman Serasi, #01-11 Botanic Gardens View, Singapore 257720",1.3084205,103.8191979,ChIJsw56sY0Z2jERqbzoUzA3Gko,,,,null,null,null,,"9 Taman Serasi, #01-11 Botanic Gardens View, Singapore 257720",1.3084205,103.8191979
State Swim,"3 Temasek Blvd Suntec City, North Wing #L4, Singapore 038983",1.2957055,103.8597298,ChIJ-a8btAUZ2jERBELtGeoFSH4,,,,null,null,null,,"3 Temasek Blvd Suntec City, North Wing #L4, Singapore 038983",1.2957055,103.8597298
Tour de Office Foundation,"1044 N 115th St Suite 500, Omaha, NE 68154, United States",41.2695814,-96.0939827,ChIJGf7x5FGSk4cRT1Jkj3ziQfc,,,,null,null,null,,"1044 N 115th St Suite 500, Omaha, NE 68154, United States",41.2695814,-96.0939827
SHOO IN,"14 Scotts Road, #02-113, Far East Plaza, Singapore 228213",1.307311,103.83394,ChIJwXb9r5IZ2jER2KJ8tolYteM,,,,null,null,null,,"14 Scotts Road, #02-113, Far East Plaza, Singapore 228213",1.307311,103.83394
Primary Health Tasmania,"level 2/85 Collins St, Hobart TAS 7000, Australia",-42.8827724,147.3282971,ChIJ1aq2gIV1bqoRKGdeSB5XcXk,,,,null,null,null,,"level 2/85 Collins St, Hobart TAS 7000, Australia",-42.8827724,147.3282971
Positive Life NSW,"414 Elizabeth St, Surry Hills NSW 2010, Australia",-33.886227,151.2085484,ChIJ9ZVheaeMtAERrxRtO_-2XIg,,,,null,null,null,,"414 Elizabeth St, Surry Hills NSW 2010, Australia",-33.886227,151.2085484
