Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
sgfleet,-35.321608,149.096533,,null,null,,-35.321608,149.096533
Qontigo,null,null,,null,null,,null,null
Future Fund,23.6527,57.59926,,null,null,,23.6527,57.59926
FIIG Securities,24.849124,66.998921,,null,null,,24.849124,66.998921
Export Finance Australia,40.41812,-79.6256,,null,null,,40.41812,-79.6256
Bitcoin Group,47.371242,8.543852,,null,null,,47.371242,8.543852
Platypus Asset Management,null,null,,null,null,,null,null
Apollo Capital,27.763926,-82.401542,,-37.803425,145.01105,,-37.803425,145.01105
Refund Home Loans,8.504026,76.959778,,null,null,,8.504026,76.959778
Loanezi,null,null,,null,null,,null,null
Premier World Capital (London Headquarters),null,null,,null,null,,null,null
Washington Brown,38.82652,-77.01712,,null,null,,38.82652,-77.01712
Interleasing,null,null,,null,null,,null,null
Copia Investment Partners,35.945989,-84.159574,,null,null,,35.945989,-84.159574
Model Citizn,null,null,,null,null,,null,null
XTB: Corporate bond units on ASX,null,null,,null,null,,null,null
360 Capital,43.275708,-123.441507,,null,null,,43.275708,-123.441507
ADP Australia and New Zealand,49.239745,-123.130356,,null,null,,49.239745,-123.130356
StockCo 100% Livestock Finance,null,null,,null,null,,null,null
Sharesight,-41.294019,174.777575,,null,null,,-41.294019,174.777575
Waddle,40.846271,-77.92979,,null,null,,40.846271,-77.92979
Basiq,15.45703,44.50443,,null,null,,15.45703,44.50443
MONEY3,-41.051163,145.905075,,null,null,,-41.051163,145.905075
Autopia,null,null,,null,null,,null,null
Start Finance Australia,-33.883707,116.380311,,-37.803425,145.01105,,-37.803425,145.01105
Compare Club,51.254273,7.137705,,null,null,,51.254273,7.137705
IPF Digital,48.2281,14.40205,,null,null,,48.2281,14.40205
Credit Corp,11.048957,124.004244,,null,null,,11.048957,124.004244
Shadforth Financial Group Ltd,-34.967978,117.270331,,null,null,,-34.967978,117.270331
Axi,25.007,104.655,,null,null,,25.007,104.655
ARITA - Australian Restructuring Insolvency & Turnaround Association,38.932902,-77.028895,,null,null,,38.932902,-77.028895
Moneytech Limited,6.925874,79.866566,,null,null,,6.925874,79.866566
Equity Trustees,-1.396021,36.753333,,null,null,,-1.396021,36.753333
Escrow Pal,33.555037,-117.710573,,-34.897945,138.59166,,-34.897945,138.59166
Stock Specialist,null,null,,null,null,,null,null
GCS Credit Community,38.679318,-90.148453,,-37.803425,145.01105,,-37.803425,145.01105
Star Beta,null,null,,null,null,,null,null
Virtual Business Partners Pty. Ltd.,null,null,,null,null,,null,null
Link Fund Solutions,35.920507,-84.084292,,null,null,,35.920507,-84.084292
DiviPay,null,null,,null,null,,null,null
PSK Financial Services,33.916772,-117.568752,,null,null,,33.916772,-117.568752
Power Tynan,42.626846,-112.762383,,null,null,,42.626846,-112.762383
Lendly,null,null,,null,null,,null,null
Bridgewater,40.60079,-74.64815,,null,null,,40.60079,-74.64815
Indigo Agriculture,29.176393,-81.132871,,-27.47126,153.01831,,-27.47126,153.01831
Yard,35.98342,52.47657,,null,null,,35.98342,52.47657
Pacific Finance Australia,36.61774,-121.91662,,null,null,,36.61774,-121.91662
Prime Financial Group,null,null,,null,null,,null,null
EC Credit Control (Aust) Pty Ltd,null,null,,null,null,,null,null
Upstreet,51.32547,1.19407,,null,null,,51.32547,1.19407
AUB Group Limited,null,null,,null,null,,null,null
MoneyQuest Australia,null,null,,null,null,,null,null
Hume Bank,-27.596218,151.950541,,null,null,,-27.596218,151.950541
Tanarra Capital,null,null,,null,null,,null,null
NEOS Life,40.0961,23.78323,,null,null,,40.0961,23.78323
Evergreen Consultants,47.372269,-120.59234,,null,null,,47.372269,-120.59234
Super-Rewards,null,null,,null,null,,null,null
Hello Wealth,42.955888,-85.64508,,null,null,,42.955888,-85.64508
St James Finance Corporation Pty Ltd,null,null,,-31.939821,115.8162,,-31.939821,115.8162
Club Plus Super,36.88078,10.332896,,null,null,,36.88078,10.332896
The Property Couch Podcast,50.840054,0.469424,,null,null,,50.840054,0.469424
The Leasing Centre,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Freedom Finance Australia,44.371614,-88.31153,,null,null,,44.371614,-88.31153
Angle Finance,49.158508,-94.969893,,null,null,,49.158508,-94.969893
Weather Index Solutions,40.940407,-75.823042,,null,null,,40.940407,-75.823042
ARCA | Australian Retail Credit Association,null,null,,null,null,,null,null
EML,47.101806,8.316824,,null,null,,47.101806,8.316824
ScotPac Business Finance,32.012464,35.935716,,null,null,,32.012464,35.935716
Australian Banking Association (ABA),null,null,,null,null,,null,null
IC Markets,64.779262,-18.673522,,null,null,,64.779262,-18.673522
Bell Potter Securities,31.05239,-97.471799,,null,null,,31.05239,-97.471799
HedgeGuard Financial Software,null,null,,null,null,,null,null
Pure Commerce (A Euronet Worldwide Company),19.922504,-101.98182,,null,null,,19.922504,-101.98182
"Tourmaline Partners, LLC",35.183758,-97.438134,,null,null,,35.183758,-97.438134
BlueRock,-38.051683,146.199673,,null,null,,-38.051683,146.199673
Banxa.com,null,null,,null,null,,null,null
iSphere Global,52.484706,-1.90453,,null,null,,52.484706,-1.90453
STROPRO,null,null,,null,null,,null,null
Gresham Partners,45.496238,-122.4457,,null,null,,45.496238,-122.4457
Medipass,null,null,,null,null,,null,null
Institute of Chartered Accountants,null,null,,null,null,,null,null
SecurePay,null,null,,null,null,,null,null
Launchcap,null,null,,null,null,,null,null
IG Australia,-23.992438,134.050443,,null,null,,-23.992438,134.050443
Ezidebit,null,null,,null,null,,null,null
Patersons Securities Limited,10.645222,76.073119,,null,null,,10.645222,76.073119
Aware Super,37.4187,-79.187432,,null,null,,37.4187,-79.187432
Loan Market,null,null,,null,null,,null,null
Fexco,53.345388,-6.259495,,null,null,,53.345388,-6.259495
WILSONS,null,null,,null,null,,null,null
moneycorp,51.888924,0.261235,,null,null,,51.888924,0.261235
Cuscal Limited,6.925874,79.866566,,null,null,,6.925874,79.866566
FlexiGroup Limited (FXL),null,null,,null,null,,null,null
humm group,3.906097,11.53883,,null,null,,3.906097,11.53883
FinTech Australia,44.442319,18.875071,,null,null,,44.442319,18.875071
Prospa.,50.012413,2.0026,,null,null,,50.012413,2.0026
Hyperwallet,null,null,,null,null,,null,null
Australian Business Insights,7.286809,80.646587,,null,null,,7.286809,80.646587
GTreasury,null,null,,null,null,,null,null
Bankwest,-37.814237,144.963888,,null,null,,-37.814237,144.963888
Profusion,null,null,,null,null,,null,null
Zip Co,3.420497,-73.166783,,null,null,,3.420497,-73.166783
CR2,43.574216,-75.961639,,null,null,,43.574216,-75.961639
CommSec,-33.868348,151.206547,,null,null,,-33.868348,151.206547
Rest,37.28077,49.58319,,null,null,,37.28077,49.58319
Airwallex,null,null,,null,null,,null,null
ISS ESG Australia,-17.834016,177.972004,,null,null,,-17.834016,177.972004
ALG Australian Lending Group,null,null,,null,null,,null,null
CFA Society Melbourne,-37.811792,144.972352,,-37.803425,145.01105,,-37.803425,145.01105
AFMA,11.85,42.466667,,null,null,,11.85,42.466667
WLTH,41.571425,-87.31726,,null,null,,41.571425,-87.31726
Fifo Capital Australia Pty Ltd,48.589322,17.83215,,null,null,,48.589322,17.83215
Life Trading,33.212166,-97.148782,,null,null,,33.212166,-97.148782
Zuper,-7.282464,112.803064,,null,null,,-7.282464,112.803064
SBO with Jason Andrew,null,null,,null,null,,null,null
