Name,Address_0,Latitude_0,Longitude_0,place_id
ICT Lifecycle - Hardware and Software Solutions,"20 Changi Business Park Central 2, #05-02/03 Rigel Innovation Center, Singapore 486031",1.3378378,103.9676929,ChIJnZLDJNc82jERZRR7YCud_t0
OM Laptop Repair Centre,"221, #06-13 Henderson Rd, Henderson Building, Singapore 159557",1.2805136,103.8208177,ChIJTW-NeW8b2jER-lkRM_d99Ck
Infortech Distribution,"No. 53, Jalan Rosmerah 2/1, Taman Johor Jaya, Johor, 81100 Johor Bahru, Malaysia",1.535228,103.793873,ChIJEfDRPD9s2jERYK_3l1HxYwM
PCG4M3R Systems & Services,null,null,null,null
Wilkie's PCs,null,null,null,null
Morgan Street Dental Centre,"40 Amoy St, Singapore 069866",1.2806446,103.8470753,ChIJtRcIcg0Z2jER_7IhjPjgDvc
Computer Repairs and Services,"45, Jalan Kebudayaan 4, Taman Universiti, 81300 Skundai, Johor, Malaysia",1.541524,103.629559,ChIJu9D22A502jERuK0SEdQ9L7g
DASH Computer Repairs,"Blackthorn Business Park, Old Stable, Coes Rd, Marshes Lower, Dundalk, Co. Louth, Ireland",54.0050103,-6.3800418,ChIJYRatNZ3OYEgRxF67qn-Ie3I
Laptop Repair Sydney,"C7/13-15 Forrester St, Kingsgrove NSW 2208, Australia",-33.9388539,151.0972984,ChIJFeAgoyu6EmsRt5zd0YBbl1A
Server Parts,"No.47, Jalan Masai Jaya 1, 81100 Johor Bahru, Johor, Malaysia",1.5217819,103.813902,ChIJiyV9aoxt2jERrAb6aT_RSKo
ICP Digital Signage,"1 Wallich St, #22-01 Guoco Tower, Singapore 078881",1.276994,103.845777,ChIJRUb2xKUZ2jER4yqhNOSyY98
Aquila Computer Solutions,"Jl. Brigjen Katamso KM 6, Tanjung Uncang, Batu Aji, Tj. Uncang, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29423, Indonesia",1.0417863,103.9112304,ChIJh0fZWLTy2TERD7_tdPraOdg
Young Tech Computer,"930 Yishun Ave 2 #03-09/10 Northpoint Shopping Centre, Northpoint City, Singapore 769098",1.4292716,103.836095,ChIJNQt1fWUU2jERMHbKf7VyeuI
Serendipity Cyber Services,"Swapnapurti, Plot No. 42, Star City, Siddhivinayak Park, Pune-Solapur Highway, Near Kawadi Pat Toll Plaza, Kalbhor Nagar, Haveli, Pune, Maharashtra 412307, India",18.1635835,74.9612771,ChIJeTE2LHyAwzsRELhPF8Wa_nU
Smartmove Computing,"218 Pakenham St, Echuca VIC 3564, Australia",-36.1280354,144.7509331,ChIJsW_elPoC2WoRhEhd-Ys1U4w
ITechservices,"3, Jalan Pinang E 18/E, Seksyen 18, 40000 Shah Alam, Selangor, Malaysia",3.045041,101.516535,ChIJKazBfq9SzDERGISthlz3j9U
COMPLETE TECHNOLOGY PTY LTD,"05-334 Choa Chu Kang Ave 4, Singapore 680414",1.381176,103.738899,ChIJbxyuH90R2jERl4qwytfXbC8
JC TECH SOLUTIONS LIMITED,"No 42, 1, Jalan Rahmat 4, Taman Malim Jaya, 75250 Malacca, Malaysia",2.2404791,102.2332389,ChIJU_SH2wzx0TERm63i3q24VJg
Jaxsta Ltd,"Level 1/113-115 Oxford St, Darlinghurst NSW 2010, Australia",-33.8793762,151.2149099,ChIJm9FqRxeuEmsRXJ0M6hktPpg
Parketronics Pty Ltd.,"45 Douglas Dr, Mawson Lakes SA 5095, Australia",-34.8145741,138.6205691,ChIJ06GF7oq2sGoR19qutnGcd6k
Habus Maso,null,null,null,null
Leading Edge Computers Katoomba,"93 Katoomba St, Katoomba NSW 2780, Australia",-33.7147428,150.3111699,ChIJwREBF5luEmsRTskvlluphFM
POS PLAZA,"JKR 2386, Jalan Nenas, Taman Tampoi, 81200 Johor Bahru, Johor, Malaysia",1.4965645,103.7029264,ChIJrxWKgOpy2jERwhO6Xiu-RIs
J Mills Distribution,"3360 N Benzing Rd, Orchard Park, NY 14127, United States",42.793383,-78.7793439,ChIJI1w8xm0P04kR3CSIocvlSmg
VT Technology,"16 Kallang Pl, Singapore 339156",1.3166216,103.8665462,ChIJwwhzn9IZ2jER6UvEEpjyjLg
fit-PC.com.au,"Unit 5/9 Hudson Ave, Castle Hill NSW 2154, Australia",-33.7307066,150.975114,ChIJdSDafZKUEmsRg51xCzitVic
Omnisystems Network Solutions Pty Ltd,"2/57A Burwood Rd, Burwood NSW 2134, Australia",-33.875134,151.103751,ChIJj-XVH9u6EmsROrIoUC8aVs4
iLove Computers,"Shop 18/130-164 Brisbane Rd, Mooloolaba QLD 4557, Australia",-26.6908987,153.1148116,ChIJ-eMRnfx1k2sRDc9H6RG0BrA
Kvm Av Australia,"3/3 La Fayette Blvd, Bibra Lake WA 6163, Australia",-32.090927,115.813547,ChIJ17_9WIKiMioRGC2oGA-ECcQ
Marm UPS Pty Ltd,"80 Box Rd, Taren Point NSW 2229, Australia",-34.0244784,151.1166695,ChIJbXPIrnS4EmsRtQ1vTkwwbsM
