Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
The Studio* Collaborative Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
BDA Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Archify (ANZ),null,null,null,null,,,,null,null,null,,null,null,null
James Cubitt Architects Brisbane,null,null,null,null,,,,null,null,null,,null,null,null
Habit8,null,null,null,null,,,,"Studio 25, Surry Hills, NSW, 2010, AU",-33.84907,151.13834,,"Studio 25, Surry Hills, NSW, 2010, AU",-33.84907,151.13834
Flightpath Architects Pty Ltd,null,null,null,null,,,,"101 Hindley St, Adelaide, South Australia, 5000, AU",-34.897945,138.59166,,"101 Hindley St, Adelaide, South Australia, 5000, AU",-34.897945,138.59166
DM2Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Steffan Town Planning,null,null,null,null,,,,null,null,null,,null,null,null
Contour Consultants,null,null,null,null,,,,null,null,null,,null,null,null
BNMH Architects,null,null,null,null,,,,null,null,null,,null,null,null
PROEKT Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Baini Design,null,null,null,null,,,,null,null,null,,null,null,null
Williams Boag Architects [WBa],null,null,null,null,,,,"Level 1, 43 Williamson Street, Bendigo, VIC, 3550, AU",-36.759342,144.284,,"Level 1, 43 Williamson Street, Bendigo, VIC, 3550, AU",-36.759342,144.284
Merrin & Cranston Architects,null,null,null,null,,,,null,null,null,,null,null,null
Planning Ingenuity,null,null,null,null,,,,null,null,null,,null,null,null
Architecton Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Stefanidis Architects,null,null,null,null,,,,null,null,null,,null,null,null
Stallard Meek Architects,null,null,null,null,,,,"65 Charles Street, Norwood, South Australia, 5067, AU",-34.897945,138.59166,,"65 Charles Street, Norwood, South Australia, 5067, AU",-34.897945,138.59166
Smart Plus Academy,null,null,null,null,,,,null,null,null,,null,null,null
Richards Stanisich,null,null,null,null,,,,null,null,null,,null,null,null
Startari,null,null,null,null,,,,null,null,null,,null,null,null
Urban Pinboard,null,null,null,null,,,,null,null,null,,null,null,null
DesignAE / Landscaping,null,null,null,null,,,,null,null,null,,null,null,null
MEP Consulting Engineers,null,null,null,null,,,,null,null,null,,null,null,null
Smart Design Studio,null,null,null,null,,,,null,null,null,,null,null,null
bureau^proberts,null,null,null,null,,,,null,null,null,,null,null,null
db Interiors Ltd.,null,null,null,null,,,,null,null,null,,null,null,null
k20 Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Nightingale Housing,null,null,null,null,,,,null,null,null,,null,null,null
OPTIMA,null,null,null,null,,,,null,null,null,,null,null,null
PEDDLE THORP,null,null,null,null,,,,null,null,null,,null,null,null
null,null,null,null,null,,,,null,null,null,,null,null,null
FPOV,null,null,null,null,,,,null,null,null,,null,null,null
CUSTANCE,null,null,null,null,,,,null,null,null,,null,null,null
Spyre Group Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Town Planning Alliance,null,null,null,null,,,,null,null,null,,null,null,null
Built Industry Group,null,null,null,null,,,,null,null,null,,null,null,null
VIA Architects //,null,null,null,null,,,,null,null,null,,null,null,null
CCG Architects Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Architecture Australia,null,null,null,null,,,,"163 Eastern Rd, South Melbourne, Vic, 3205, AU",-37.803425,145.01105,,"163 Eastern Rd, South Melbourne, Vic, 3205, AU",-37.803425,145.01105
Zone Planning Group,null,null,null,null,,,,null,null,null,,null,null,null
baukultur,null,null,null,null,,,,null,null,null,,null,null,null
ENESS,null,null,null,null,,,,null,null,null,,null,null,null
Aspect Architects and Project Managers,null,null,null,null,,,,null,null,null,,null,null,null
