Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Tamworth Mini Storage,null,null,null,null,,,,null,null,null,,null,null,null
ILUKA SELF STORAGE UNITS,null,null,null,null,,,,null,null,null,,null,null,null
Brown Jersey,null,null,null,null,,,,null,null,null,,null,null,null
Breen Street Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
lmstore.com.au,null,null,null,null,,,,null,null,null,,null,null,null
Margate Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
North Brisbane Storage,null,null,null,null,,,,null,null,null,,null,null,null
Zenith Home & Garden Decor,null,null,null,null,,,,null,null,null,,null,null,null
Greenlife Garden Products,null,null,null,null,,,,null,null,null,,null,null,null
Badger Removals,null,null,null,null,,,,null,null,null,,null,null,null
Byron Bay Storage Sheds,null,null,null,null,,,,null,null,null,,null,null,null
Meander Valley Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Bondi Bag Storage,null,null,null,null,,,,null,null,null,,null,null,null
Storage Quest Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Ararat Storage Units,null,null,null,null,,,,null,null,null,,null,null,null
Albert Road Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Bowen Business Machines,null,null,null,null,,,,null,null,null,,null,null,null
Echuca Moama Boat and General Storage,null,null,null,null,,,,null,null,null,,null,null,null
Benworth,null,null,null,null,,,,null,null,null,,null,null,null
Furnware Group Distribution Centre,null,null,null,null,,,,null,null,null,,null,null,null
Oddbins Wine Auctions,null,null,null,null,,,,null,null,null,,null,null,null
Storage Woodend,null,null,null,null,,,,null,null,null,,null,null,null
iStore Storage,null,null,null,null,,,,null,null,null,,null,null,null
Smart Storage Group,null,null,null,null,,,,null,null,null,,null,null,null
Patrick Refrigeration,null,null,null,null,,,,null,null,null,,null,null,null
Budget Warehousing Unanderra,null,null,null,null,,,,null,null,null,,null,null,null
Kingston Storage,null,null,null,null,,,,null,null,null,,null,null,null
Highton Removals & Storage,null,null,null,null,,,,null,null,null,,null,null,null
Yanchep Storage,null,null,null,null,,,,null,null,null,,null,null,null
Summerland Storage,null,null,null,null,,,,null,null,null,,null,null,null
Rizzi Cold Storage,null,null,null,null,,,,null,null,null,,null,null,null
Lismore Secure Storage Sheds,null,null,null,null,,,,null,null,null,,null,null,null
Sinclair Containers,null,null,null,null,,,,null,null,null,,null,null,null
Callipari Wine & Food,null,null,null,null,,,,null,null,null,,null,null,null
Maylands Mini Storage,null,null,null,null,,,,null,null,null,,null,null,null
Jefflin Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Electrical Search,null,null,null,null,,,,null,null,null,,null,null,null
Shipping Containers Brisbane Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Lifeline Canberra Warehouse,null,null,null,null,,,,null,null,null,,null,null,null
Byron Storage,null,null,null,null,,,,null,null,null,,null,null,null
Premier Removals and Storage,null,null,null,null,,,,null,null,null,,null,null,null
Burleigh Mini Stores & Removals,null,null,null,null,,,,null,null,null,,null,null,null
Jackman Furniture Transport,null,null,null,null,,,,null,null,null,,null,null,null
The Pottery Boutique,null,null,null,null,,,,null,null,null,,null,null,null
Australia Quick Response,null,null,null,null,,,,null,null,null,,null,null,null
BKC Storage,null,null,null,null,,,,null,null,null,,null,null,null
Get Posh Australia Pty,null,null,null,null,,,,null,null,null,,null,null,null
Millicent Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Access Cold and Dry Storage,null,null,null,null,,,,null,null,null,,null,null,null
Solutions Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Selah Steel,null,null,null,null,,,,null,null,null,,null,null,null
MONASH SELF,null,null,null,null,,,,null,null,null,,null,null,null
StorEasy Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Storage 2000 Lonsdale,null,null,null,null,,,,null,null,null,,null,null,null
Storage One Charmhaven,null,null,null,null,,,,null,null,null,,null,null,null
Brasserie in a box,null,null,null,null,,,,null,null,null,,null,null,null
WridgWays Storage,null,null,null,null,,,,null,null,null,,null,null,null
Cheap Sydney Storage,null,null,null,null,,,,null,null,null,,null,null,null
Mooval Removals & Cleaning - Head Office,null,null,null,null,,,,null,null,null,,null,null,null
Hobart Premium Storage,null,null,null,null,,,,null,null,null,,null,null,null
North Coast Removals and Storage,null,null,null,null,,,,null,null,null,,null,null,null
Kenter International,null,null,null,null,,,,null,null,null,,null,null,null
The Base Mitcham,null,null,null,null,,,,null,null,null,,null,null,null
Autohouse Storage,null,null,null,null,,,,null,null,null,,null,null,null
CK Interstate Furniture Removals,null,null,null,null,,,,null,null,null,,null,null,null
Tassie Containers Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Canning Vale Storage Units,null,null,null,null,,,,null,null,null,,null,null,null
Costmart,null,null,null,null,,,,null,null,null,,null,null,null
Toowoomba Vehicle Storage,null,null,null,null,,,,null,null,null,,null,null,null
QBic Storage,null,null,null,null,,,,null,null,null,,null,null,null
Mulwala Boat And Caravan Storage,null,null,null,null,,,,null,null,null,,null,null,null
Broadford Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
ARQUILLA,null,null,null,null,,,,null,null,null,,null,null,null
A1 Security Storage,null,null,null,null,,,,null,null,null,,null,null,null
Crookwell Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Hospitality Warehouse Albury,null,null,null,null,,,,null,null,null,,null,null,null
Bayside Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Coffs Harbour Discount Mini Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Jake Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Get Smart Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Keeper Lockers and Storage,null,null,null,null,,,,null,null,null,,null,null,null
Kawana Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Nambucca Valley Storage,null,null,null,null,,,,null,null,null,,null,null,null
Gippsland Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Made 4 Marine,null,null,null,null,,,,null,null,null,,null,null,null
ABC & ABA Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Yuen's Warehouse,null,null,null,null,,,,null,null,null,,null,null,null
"Cars, Boats and Caravans",null,null,null,null,,,,null,null,null,,null,null,null
StoreAll Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Perth Storage WA,null,null,null,null,,,,null,null,null,,null,null,null
Mclaren Vale Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Broadbeach Removals,null,null,null,null,,,,null,null,null,,null,null,null
Pizzoni Wimmera Removals & Central Storage,null,null,null,null,,,,null,null,null,,null,null,null
Jervis Bay Boat Storage,null,null,null,null,,,,null,null,null,,null,null,null
COOLABAH SELF STORAGE,null,null,null,null,,,,null,null,null,,null,null,null
Kangaroo Flat Storage P/L,null,null,null,null,,,,null,null,null,,null,null,null
Mildura Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Bathurst Sheds & Workshops,null,null,null,null,,,,null,null,null,,null,null,null
Dunsborough Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
York & Lancaster Group,null,null,null,null,,,,null,null,null,,null,null,null
Sydney toolboxes,null,null,null,null,,,,null,null,null,,null,null,null
Outstanding Building Products,null,null,null,null,,,,null,null,null,,null,null,null
Launceston Storage Solutions,null,null,null,null,,,,null,null,null,,null,null,null
Bayside Car Storage,null,null,null,null,,,,null,null,null,,null,null,null
Childs Road Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Thermal Master,null,null,null,null,,,,null,null,null,,null,null,null
RapidAir Systems,null,null,null,null,,,,null,null,null,,null,null,null
GenieGrips Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
DGL Group Pty. Ltd.,null,null,null,null,,,,"739 Progress Road, Wacol, QLD, 4076, AU",-27.47126,153.01831,,"739 Progress Road, Wacol, QLD, 4076, AU",-27.47126,153.01831
Genex Wholesale Pty Ltd.,null,null,null,null,,,,null,null,null,,null,null,null
Sabrini foods,null,null,null,null,,,,null,null,null,,null,null,null
Total Racking Systems,null,null,null,null,,,,null,null,null,,null,null,null
Zilco International,null,null,null,null,,,,null,null,null,,null,null,null
Henderson Hose & Fittings,null,null,null,null,,,,null,null,null,,null,null,null
Kappel Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Disttech - Distribution Technologies Pty Ltd,null,null,null,null,,,,"154 Elizabeth Street, Sydney, New South Wales, 2000, AU",-33.84907,151.13834,,"154 Elizabeth Street, Sydney, New South Wales, 2000, AU",-33.84907,151.13834
Industry Property Solutions,null,null,null,null,,,,null,null,null,,null,null,null
PEARL AVIATION AUSTRALIA PTY LTD,null,null,null,null,,,,"Level 3, 19 The Mall, Darwin, NT, 800, AU",-25.574999,134.3547,,"Level 3, 19 The Mall, Darwin, NT, 800, AU",-25.574999,134.3547
APF Cold Storage and Logistics,null,null,null,null,,,,null,null,null,,null,null,null
Australian Sweeper Corporation,null,null,null,null,,,,null,null,null,,null,null,null
WFDS,null,null,null,null,,,,null,null,null,,null,null,null
Storage 2000,null,null,null,null,,,,"334 South Road, Croydon Park, South Australia, 5008, AU",-34.897945,138.59166,,"334 South Road, Croydon Park, South Australia, 5008, AU",-34.897945,138.59166
Rack Audits and Maintenance Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
MCS Container Unloaders,null,null,null,null,,,,"null, Sydney, null, null, AU",-33.84907,151.13834,,"null, Sydney, null, null, AU",-33.84907,151.13834
Promtel (Prom-Tel Pty Ltd),null,null,null,null,,,,null,null,null,,null,null,null
Adnohr Marketing,null,null,null,null,,,,"76A Hermitage Road, West Ryde, New South Wales, 2114, AU",-33.84907,151.13834,,"76A Hermitage Road, West Ryde, New South Wales, 2114, AU",-33.84907,151.13834
Alpha Storage & Equipment Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
ztr.com.au,null,null,null,null,,,,null,null,null,,null,null,null
Storage Cubes,null,null,null,null,,,,null,null,null,,null,null,null
Simplex Time Australia,null,null,null,null,,,,null,null,null,,null,null,null
Newcastle Sideloaders Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Secure Storage Australia - Townsville,null,null,null,null,,,,null,null,null,,null,null,null
Spartan Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Vic Palmer,null,null,null,null,,,,null,null,null,,null,null,null
OCAM Global Logistics,null,null,null,null,,,,null,null,null,,null,null,null
Hervey Bay Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Cairns CBD Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Sync WMS,null,null,null,null,,,,null,null,null,,null,null,null
Osborne Park Self Storage,null,null,null,null,,,,"119 Hector Street West, Osborne Park, WA, 6017, AU",-31.939821,115.8162,,"119 Hector Street West, Osborne Park, WA, 6017, AU",-31.939821,115.8162
Barossa Bottling Services Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
OZtrail,null,null,null,null,,,,null,null,null,,null,null,null
