Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
APAC (Asia Pacific Asset Corporation),1.97556,32.53861,,null,null,,1.97556,32.53861
Ledlin Develop,38.522522,-75.552592,,null,null,,38.522522,-75.552592
CPG South West,-38.154436,175.69652,,null,null,,-38.154436,175.69652
Maesr Partners Pty Ltd,null,null,,-37.803425,145.01105,,-37.803425,145.01105
JGD Developments Pty Ltd,-30.516548,151.650513,,-28.670261,153.55615,,-28.670261,153.55615
Whitehall Property,40.66676,-75.49991,,-33.84907,151.13834,,-33.84907,151.13834
CBRE Cairns,34.178129,-118.601911,,null,null,,34.178129,-118.601911
Construct Hub,null,null,,-27.47126,153.01831,,-27.47126,153.01831
collective_100,null,null,,null,null,,null,null
InTurn Property Group,45.537027,-122.779779,,-33.84907,151.13834,,-33.84907,151.13834
IBN Private Mortgage Funding,null,null,,null,null,,null,null
Acumen Corporate Property,13.14356,-59.605627,,null,null,,13.14356,-59.605627
Parkhurst Town Centre - Parkhurst Rockhampton QLD,53.171488,-6.533848,,-23.374378,150.5064,,-23.374378,150.5064
Summit Business Brokers,38.901136,-94.387539,,null,null,,38.901136,-94.387539
Coastal Coworking,48.770954,9.157058,,null,null,,48.770954,9.157058
BTC Properties,60.014511,30.367766,,-27.47126,153.01831,,-27.47126,153.01831
GoLive Hotels,52.368638,4.84388,,null,null,,52.368638,4.84388
the Greenhouse AXIS,51.50792,-0.149399,,null,null,,51.50792,-0.149399
Hobart SPS,null,null,,null,null,,null,null
Blue Asset Management Pty Limited,null,null,,-33.84907,151.13834,,-33.84907,151.13834
JCEIN Pty Ltd,-38.094211,144.368721,,null,null,,-38.094211,144.368721
Bustle Studios,40.094788,-75.044453,,-33.84907,151.13834,,-33.84907,151.13834
E-Property Consultants,24.84731,67.073923,,-19.257622,146.81787,,-19.257622,146.81787
KPMG SGA,51.458075,-0.966742,,null,null,,51.458075,-0.966742
LINK Business Brokers,null,null,,null,null,,null,null
Clarence - Workplaces for Professionals,51.381571,0.497621,,null,null,,51.381571,0.497621
First Contact,34.685403,135.496762,,null,null,,34.685403,135.496762
Innovation Campus,37.719875,-97.286988,,null,null,,37.719875,-97.286988
Victory Offices,33.106352,-117.266614,,null,null,,33.106352,-117.266614
Lease Equity,-19.06667,31.75,,null,null,,-19.06667,31.75
TRS - Tenant Representation Services,null,null,,null,null,,null,null
Wilson Parking Australia,-31.951896,115.863494,,null,null,,-31.951896,115.863494
MRS Property,43.295314,5.401581,,null,null,,43.295314,5.401581
United Caulking Melbourne,39.715956,-96.999668,,-37.803425,145.01105,,-37.803425,145.01105
Good Property Collective,null,null,,null,null,,null,null
FindAShed,null,null,,-16.922783,145.77031,,-16.922783,145.77031
Sqm Consulting,-13.330273,-50.198642,,-27.47126,153.01831,,-27.47126,153.01831
Foresight Business Sales,53.408428,-2.967953,,-25.575092,152.59541,,-25.575092,152.59541
AIM Business Centres,22.560541,72.955777,,-37.803425,145.01105,,-37.803425,145.01105
Ingram Property Group,33.816248,-78.677819,,-25.574999,134.3547,,-25.574999,134.3547
Conform Developments,17.38417,-92.12389,,-37.803425,145.01105,,-37.803425,145.01105
W Property Pty Ltd.,-27.661907,153.176986,,null,null,,-27.661907,153.176986
Expats Choice Pty Ltd,null,null,,-33.84907,151.13834,,-33.84907,151.13834
