S/T name,SA2 name,Latitude,Longitude
New South Wales,"Thornton, Millers Forest",-32.785103,151.636277
New South Wales,Anna Bay,-32.782449,152.084696
New South Wales,"Lemon Tree Passage, Tanilba Bay",-32.730846,152.023848
New South Wales,Nelson Bay Peninsula,-32.744119,152.193316
New South Wales,Raymond Terrace,-32.759945,151.754506
New South Wales,"Seaham, Woodville",-32.665242,151.722923
New South Wales,"Tea Gardens, Hawks Nest",-36.61667,149.28333
New South Wales,"Williamtown, Medowie, Karuah",-32.793498,151.840769
New South Wales,Muswellbrook,-32.27371,150.896582
New South Wales,Muswellbrook Region,-32.27371,150.896582
New South Wales,Scone,-32.079607,150.85011
New South Wales,Scone Region,-32.079607,150.85011
New South Wales,"Dapto, Avondale",-34.496284,150.794868
New South Wales,"Horsley, Kembla Grange",-34.487999,150.774443
New South Wales,Port Kembla Industrial,-34.481401,150.909402
New South Wales,"Unanderra, Mount Kembla",-34.455455,150.848015
New South Wales,"Berkeley, Lake Heights, Cringila",-34.467831,150.848403
New South Wales,"Port Kembla, Warrawong",-34.481401,150.909402
New South Wales,"Windang, Primbee",-34.529419,150.868832
New South Wales,Illawarra Catchment Reserve,-32.494981,146.586903
New South Wales,"Albion Park, Macquarie Pass",-34.582284,150.775825
New South Wales,Albion Park Rail,-34.554795,150.786947
New South Wales,Kiama,-34.671698,150.849093
New South Wales,"Kiama Downs, Minnamurra",-34.641853,150.849477
New South Wales,"Kiama Hinterland, Gerringong",-34.671698,150.849093
New South Wales,"Shellharbour, Flinders",null,null
New South Wales,"Shellharbour, Oak Flats",-34.578005,150.864977
New South Wales,Warilla,-34.552052,150.858302
New South Wales,"Balgownie, Fairy Meadow",-34.38618,150.87638
New South Wales,"Corrimal, Tarrawanna, Bellambi",-34.365259,150.888269
New South Wales,"Figtree, Keiraville",-34.436071,150.859292
New South Wales,Helensburgh,-34.201369,150.977383
New South Wales,"Thirroul, Austinmer, Coalcliff",-34.315317,150.922377
New South Wales,"Woonona, Bulli, Russell Vale",-34.33971,150.906838
New South Wales,"Wollongong, Wollongong East",-34.428377,150.893892
New South Wales,"Wollongong, Wollongong West",-34.428377,150.893892
New South Wales,"Bulahdelah, Stroud",-32.405673,152.209523
New South Wales,Forster,-32.220408,152.547653
New South Wales,"Forster,Tuncurry Region",-32.220408,152.547653
New South Wales,Tuncurry,-32.161756,152.486051
New South Wales,Kempsey,-31.076544,152.839218
New South Wales,Kempsey Region,-31.076544,152.839218
New South Wales,"Macksville, Scotts Head",-30.720059,152.918592
New South Wales,Nambucca Heads,null,null
New South Wales,Nambucca Heads Region,-30.645309,152.995589
New South Wales,South West Rocks,null,null
New South Wales,Lord Howe Island,-31.560589,159.085907
New South Wales,"Laurieton, Bonny Hills",-31.647833,152.796965
New South Wales,"Port Macquarie, Port Macquarie East",null,null
New South Wales,"Port Macquarie, West",-31.463755,152.898783
New South Wales,Port Macquarie Region,-31.463755,152.898783
New South Wales,Wauchope,-31.468813,152.732985
New South Wales,Gloucester,-32.019354,151.958529
New South Wales,"Old Bar, Manning Point, Red Head",-31.966488,152.584894
New South Wales,Taree,-31.877858,152.438906
New South Wales,Taree Region,-31.877858,152.438906
New South Wales,Wingham,-31.886175,152.349123
New South Wales,"Albury, Albury East",-36.074771,146.914504
New South Wales,"Albury, Albury North",-36.074771,146.914504
New South Wales,"Albury, Albury South",-36.074771,146.914504
New South Wales,Albury Region,-36.074771,146.914504
New South Wales,Lavington,-36.043121,146.94093
New South Wales,Hay,-34.509522,144.843538
New South Wales,"Wentworth, Buronga",-34.105701,141.915422
New South Wales,"Wentworth, Balranald Region",-34.105701,141.915422
New South Wales,Corowa,-35.99334,146.383791
New South Wales,Corowa Region,-35.99334,146.383791
