Name,Address_0,Latitude_0,Longitude_0,place_id
Lemongrass,"252 North Bridge Rd, #03-07A, Raffles City Shopping Centre, Singapore 179103",1.293792,103.852876,ChIJLcAcLKQZ2jERN0_gCcmwDtg
Gentrack Ltd (Global),"L9/390 St Kilda Rd, Melbourne VIC 3004, Australia",-37.8343605,144.9734961,ChIJkxebkqdC1moRHvFMnBMsHkI
Technology People Group,"L3/201 Kent St, Sydney NSW 2000, Australia",-33.8639133,151.2036287,ChIJMWcsz0auEmsRLqme-A186jQ
JB Hi-Fi Solutions,"Unit F8/16 Mars Rd, Lane Cove West NSW 2066, Australia",-33.8128272,151.147283,ChIJSRwGBoavEmsRylDteNLxEn4
Adaps,"133 Ratchadaphisek Road, Wong Sawang, Bang Sue, Bangkok 10800, Thailand",13.8379377,100.5299913,ChIJV2r8U52c4jARAHc6ikNiaRw
TangoeFR,null,null,null,null
Milestone Group,"Level 9, The Metropolis Tower 2, 11 N Buona Vista Dr, Singapore 138589",1.3056956,103.7917702,ChIJL59BF84b2jERyXyr-nT6QBg
WEDOWEBAPPS LLC,"450 Paradise Isle Blvd #306, Hallandale Beach, FL 33009, United States",25.982008,-80.12955,ChIJe8I8jpys2YgRNcSC_bvQ7g8
DXC Oxygen,"Level 4/22 Viaduct Harbour Avenue, Auckland Central, Auckland 1010, New Zealand",-36.8452235,174.7569357,ChIJg8LTVO5IDW0R5mtOmLp0rzw
Software Group,"No.83A, Jalan Emas 1, Taman Sri Skudai, 81300 Johor Bahru, Johor, Malaysia",1.543303,103.651413,ChIJaxK_ee9z2jERqcARM1B4vXw
Secure Code Warrior,"29 Balfour St, Chippendale NSW 2008, Australia",-33.8865478,151.199965,ChIJrcrpGUGuEmsRznCp5UPj7XI
ValueFirst Digital Media,"B-18, Infocity-1, Block B, Sector 34, Gurugram, Haryana 122001, India",28.4309731,77.013674,ChIJka9aKgMYDTkRZfbW8cTX1LU
Degreed,"3e Binnenvestgracht 23R, 2312 NR Leiden, Netherlands",52.1643785,4.4910573,ChIJs7ij3-_GxUcRkFnrfcqy71w
Virtustream,"227 Berwick Ave, Slough SL1 4QT, United Kingdom",51.5195495,-0.6227614,ChIJef_WadFkdkgREcw2E_fpnM8
ITC Infotech,"77 Robinson Rd, 39 #11-01 Suite 2F Robinson 77, Singapore 068911",1.2796461,103.8495024,ChIJyWebzHUZ2jERJgHgvedQumc
Omnicell,"18 Senang Cres, Singapore 416591",1.3273672,103.9174623,ChIJiR5e4FQ92jERIyS8tqWlH_4
Freelancer.com,"Ecotower, 32nd St, Taguig, Metro Manila, Philippines",14.5527862,121.0518576,ChIJsZIN7PPIlzMRMyTVKLdKSIM
Oracle Customer Experience,"750D Chai Chee Rd, #06-01/06 ESR BizPark @ Chai Chee, Singapore 469004",1.3243575,103.9230165,ChIJ9eVTMfAj2jER6HvBxqEDVR4
Oracle Database,"Level 23, The Gardens North Tower, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan, Malaysia",3.1198581,101.6764974,ChIJ303VnY5JzDER6PzUhP3-Sog
PagerDuty,"level 14/5 Martin Pl, Sydney NSW 2000, Australia",-33.8679093,151.2089573,ChIJhUz-EkCuEmsRPsWLo0yDDpI
Instructure,"21/F, City Plaza 3, 14 Tai Koo Wan Rd, Quarry Bay, Hong Kong",22.2878034,114.2168096,ChIJG1WFblwABDQR45VYU-MP0NE
SourceFuse Technologies,"Maple Tower A, Smartworks, Sector 125, Noida, Uttar Pradesh 201303, India",28.5484683,77.331977,ChIJv34KGxPlDDkR93aQZPOIt5g
Epik Solutions,"3478 Buskirk Ave #210, Pleasant Hill, CA 94523, United States",37.9389849,-122.0573276,ChIJYSnMkBVhhYARCLQZ0NF6ybY
Equisoft,"Suite 2, Equisoft DAC, Curragh Grange, Moorfield, Newbridge, Co. Kildare, W12 XD59, Ireland",53.1679692,-6.8010598,ChIJi3dSD9t_XUgR_SIJXyZPUlU
Excelian | Luxoft Financial Services,"160 Robinson Rd, #17-01 Singapore Business Federation, Singapore 068914",1.278027,103.8479839,ChIJ9-QoJQwZ2jER3fAC2jaFScM
OnlinePajak,"Kawasan Rasuna Epicentrum, Generali Tower, Gran Rubina Business Park, Jl. H. R. Rasuna Said, RT.1/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia",-6.219372,106.832197,ChIJe6HTA_fzaS4RKhJ80POVOgE
NDOT Technologies,"Tidel Park, Module No. 405 4th Floor North Block Elcot SEZ, Coimbatore IT Park Rd, Coimbatore, Tamil Nadu 641014, India",11.032435,77.0189138,ChIJ_____zpfqDsRocWJch_xidY
Basis Bay,"5 Shenton Way, Singapore 068808",1.2775804,103.8494332,ChIJAQBANBIZ2jERm5qa8mT0N4Y
Grazitti Interactive,"1 Raffles Place, Tower One, #44002 048616",1.2844024,103.8509818,ChIJccqq_cYZ2jERoyhfaBD3kTo
eBaoTech Corporation,"16 Raffles Quay, Hong Leong Building, Singapore 048581",1.2814095,103.8510185,ChIJFaVUdw4Z2jER8UUzvlGJE8s
GEOSYS,"52, Jalan Enau 15, Taman Teratai, 81300 Skudai, Johor, Malaysia",1.5664679,103.61097,ChIJKV0sXZZ22jERMJSUlbYfo3o
Vyom Labs,"Goldhill Plaza, Singapore",1.3178699,103.8434686,ChIJUU7HkS8Z2jEROHJn1bYjD1I
ONGC Systems,"2/34 Newheath Dr, Arundel QLD 4214, Australia",-27.9447235,153.3427011,ChIJNZ0k9ooQkWsRwRmOu-S3PWY
Empired Ltd,"7/1 William St, Perth WA 6000, Australia",-31.95563,115.85553,ChIJQaPPhNW6MioRYJV2H11s-MQ
Intellect Global Transaction Banking | iGTB,null,null,null,null
Gold-i,"114 Syed Alwi Rd, Arya Samaj Building, Singapore 207682",1.310065,103.8550383,ChIJY4MUHsgZ2jER0rKBuNE2RoU
Brandix i3,null,null,null,null
Mantel Group,"Level 2/452 Flinders St, Melbourne VIC 3000, Australia",-37.819431,144.95853,ChIJkzyiBbVC1moRhIeSZveeoPg
Rize Technology Corporation,"286/A, 4th Floor, Srimahan Heights, Road No. 12, Banjara Hills, Hyderabad, Telangana 500034, India",17.4142588,78.4222877,ChIJxVyGVNeWyzsRhO54d7pZdi0
Spotzer,"Jacob Bontiusplaats 9, 1018 LL Amsterdam, Netherlands",52.3712743,4.9278717,ChIJf-EU__0JxkcRUJht6GNyh0g
Artificial Intelligence,"Lengkok Kuasa, 80990 Johor Bahru, Johor, Malaysia",1.5595763,103.6423641,ChIJxfpQX8lx2jERlMjA-3a_q9U
Probax,"33/250 St Georges Terrace, Perth WA 6000, Australia",-31.9518535,115.8504666,ChIJl47-XiulMioRIguLwheg0EA
Esri Australia,"1 Paya Lebar link #09-02 Paya Lebar Quarter, Singapore 408533",1.31771,103.893902,ChIJr_F0q78X2jER0SdAYapjk40
DataScienceGO,null,null,null,null
Revolent Group,"Plantation Place South, 6th Floor, 60 Great Tower St, London EC3R 5AZ, United Kingdom",51.5105031,-0.0819378,ChIJmclCJz9xfkgRwN2hsQt_CGw
Verse Group - Australia,"Level 9/109 St Georges Terrace, Perth WA 6000, Australia",-31.9550817,115.8565664,ChIJF23hd9S6MioRUzb7rb6TS_k
Mews,"271 Greenwood Ave, Singapore 286623",1.3369059,103.805145,ChIJpQhYRLsQ2jERI1nlmkndT9E
New York Global Consultants Inc. (NYGCI),"16, #32-02, Raffles Quay, Singapore",1.2807737,103.8510418,ChIJi60xj_MZ2jERWgg96YC_RO0
Recruitment Hive,"34 Yass Rd, Queanbeyan NSW 2620, Australia",-35.3429461,149.2451144,ChIJQcwK9WFPFmsRuaafI2v_hCM
oneZero Financial Systems,"6th Floor, 145-149, 3036, Christodoulou Chatzipavlou, Limassol, Cyprus",34.6754596,33.047474,ChIJ03p4Sxoz5xQRq9NHL0PNiO4
Vernalis.,"Goričica 8, 4205 Preddvor, Slovenia",46.3025042,14.423126,ChIJGbMaCsywekcRsZSPgy5l-Bg
Konica Minolta Australia,"30 Pasir Panjang Road #06-32 Mapletree Business City, Singapore 117440",1.27486,103.797787,ChIJ7UqcwMAb2jERx_mYti6lAKQ
OCTO Technology,"32 Ang Mo Kio Ind Park 2, Singapore 569510",1.3762909,103.8646526,ChIJiTiW8PYW2jER9rKnHpKbLPY
Construction Computer Software (RIB CCS),"22 Karee St, Irene, Centurion, 0062, South Africa",-25.884745,28.204093,ChIJlbb-dgpmlR4RlWm84mF6iFI
AC3,"113 Eunos Ave 3, Singapore 640898",1.3192799,103.8968778,ChIJWSbaYhkY2jERL6XnD93eUZ4
Sword Group,"Arihant epark, LB Rd, Adyar, Chennai, Tamil Nadu 600020, India",13.0052677,80.2569462,ChIJOe295i5mUjoRqeKYglO12fc
ITI Data,"Hyderabad, Phase 2, HITEC City, Hyderabad, Telangana 500081, India",17.4447968,78.3766677,ChIJq6pqYueTyzsREYOiag0y1Rc
Orion Health,"5, Jalan PJU 1/39, Dataran Prima, 47301 Petaling Jaya, Selangor, Malaysia",3.1171851,101.594939,ChIJE4yAlKFOzDERu9OeR8ohNCM
Pagero,"260 Orchard Rd, The Heeren, Singapore 238855",1.3027635,103.837358,ChIJ7U-nQfIZ2jERrC_5m2RcFYM
DTEN,null,null,null,null
CoreLogic Australia,"825 Ann St, Fortitude Valley QLD 4006, Australia",-27.456018,153.0380221,ChIJH7M3rPJZkWsRwDAwXXkkcVA
EPI-USE Labs,"45-6, The Boulevard, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1190185,101.676955,ChIJVYp96o5JzDERIMBgcR8MpbU
Covalense Global,"ISB Rd, Financial District, Nanakaramguda, Telangana 500032, India",17.4220274,78.3385612,ChIJkf7kgH-TyzsRec7kgou9kFI
Envizi,"987 Bukit Timah Rd, Singapore 589628",1.333898,103.785163,ChIJYePY4YQQ2jER-ukE2BSAFB4
Basis Technologies,"171 Tras St, Singapore 079025",1.2745039,103.8439529,ChIJQ2v8RGsZ2jERXsfQ4_Yok_4
Tychons USA,"1785 Secretariat Gait Way, Suwanee, GA 30024, United States",34.1052598,-84.1237377,ChIJvwfe-Pqb9YgRNv-52w0Fo3U
Attraqt,"5 Lachezar Stanchev STR, 1756, Bulgaria",42.6660478,23.3562197,ChIJLaOSeEOFqkARG1ucNq6lxRk
Cube Networks,"68 Circular Rd, #02-01, Singapore 049422",1.2864334,103.84914,ChIJ4d8ng-AZ2jERUx7hGsYKjCc
LexisNexis Pacific,"475 tower/2/495 Victoria Ave, Chatswood NSW 2067, Australia",-33.7970227,151.1787834,ChIJAQAAAEGuEmsRErGY0nYaWJk
Latitude IT,"Level 1/360-362 Kent St, Sydney NSW 2000, Australia",-33.8702386,151.2049464,ChIJ4z74ukCuEmsRhPfJwFpkB1o
FoodByUs,"Level 1/487 Elizabeth St, Surry Hills NSW 2010, Australia",-33.887365,151.208013,ChIJx3tGX-evEmsRHyR64Snc8AE
BCI Media Group,"300 Beach Rd, Singapore 199555",1.3010505,103.8626595,ChIJq6pq0bMZ2jERuNctOhBq8og
DB Results,"Level 1/303 Collins St, Melbourne VIC 3000, Australia",-37.816564,144.9638509,ChIJcccNC2VD1moR4Q4QCK7_F-Q
Arcade,"Jurong West Street 42, Singapore",1.3531775,103.7231238,ChIJjYvRJa8P2jER-xu-0pxUa34
Traveltek Ltd.,"Spacion Business Center, Financial District, Gachibowli, 500032, India",17.4221051,78.3365303,ChIJ469WBzKZyzsRC0AM9UByWBk
ValeurHR,"8 Marina View, Singapore 018960",1.2784816,103.8516709,ChIJGQpakxEZ2jERswmTVRGX4YM
Revolution IT,"111 North Bridge Rd, Peninsula Plaza, Singapore 179098",1.2923407,103.8508826,ChIJ8RANNaEZ2jERrO6fPKistUM
Mitra Innovation,"472, Galle Road,, Rawatawatta, Moratuwa 10400, Sri Lanka",6.7905246,79.8858334,ChIJr4Z6fxdF4joRPUcgdKV9NqA
AI Australia,"36 Carpenter St, Singapore 059915",1.2880169,103.8477094,ChIJ_QgKw3MZ2jEREN0paFW2BnU
Serko Ltd.,"Saatchi Building, Unit 14C & D 125 The Strand, Parnell, Auckland 1010, New Zealand",-36.850073,174.781471,ChIJsZVPeAVIDW0RyLkV3W7s4_k
NashTech Limited,"71 Robinson Rd, #14-01, Singapore 068895",1.2783154,103.8487085,ChIJv6jmQQ4Z2jERvvxBO5awDuo
B2BE,"20 Maxwell Rd # 09-17, Maxwell House, Singapore 069113",1.279136,103.844656,ChIJS9l9TW0Z2jERBjEsoj048Vw
Emagine International,"55 Murray St, Pyrmont NSW 2009, Australia",-33.8710091,151.1973874,ChIJbb_ztDCuEmsRnhjyf94e2MU
CompNow,"233 Upper Thomson Rd, Singapore 574364",1.3529044,103.8341952,ChIJ-13FjToX2jERW8ssKC00BTs
Pacific Point,"78A, Jalan Sutera Tanjung 8/4, Taman Sutera Utama, 81300 Skudai, Johor, Malaysia",1.516558,103.668542,ChIJJdTAmKdz2jERHKjLW6PQzjo
H&R Block India Technology & Tax Center,"3, 1st Floor, Anomora Park Centre, Hadapsar, Pune, Maharashtra 411028, India",18.5188751,73.9341347,ChIJ59qcJIrBwjsRE7wJheyXUVM
Business Analysis (BAPL),null,null,null,null
Covalense,"10 Anson Rd, Singapore 079903",1.2756998,103.8458098,ChIJAQDARBMZ2jER2IwSSpXNTdU
Maxify Digital,"C22/A, Block B, Sector 57, Noida, Uttar Pradesh 201301, India",28.6033472,77.3539921,ChIJVVVVlRLlDDkR3VGxtEeufbg
Lexicon Digital,"Level 10/455 Bourke St, Melbourne VIC 3000, Australia",-37.8152565,144.9605383,ChIJX55AN7NC1moRRIdLKSu5P5s
DXC Consulting ANZ,"1 Raffles Place, Singapore 048616",1.284495,103.851157,ChIJ2-_9UgkZ2jERcTi8JuhleWE
Altis Consulting,"219/223 Castlereagh St, Sydney NSW 2000, Australia",-33.8754894,151.2086286,ChIJwaqhvT2uEmsRqQ_MwlntFcs
Codiant - A YASH Technologies Company,"6 #07-06 Eu Tong Sen St, The Central, Singapore 059817",1.2893751,103.8473658,ChIJVVVVVboZ2jERtbrl-t8NuDg
IGT Solutions,"509 Pasir Ris Street 52, Singapore 510509",1.3759477,103.9439701,ChIJ__9bjrs92jERa7frJ2Ey8CE
Cafeto Software,"Cl. 13a #100-109 a 100-1, Cali, Valle del Cauca, Colombia",3.3698432,-76.5353602,ChIJJU9XI1WhMI4RXQcu5Fro3sE
Pan Asia Resources,"3 Shenton Way, Singapore 068805",1.2786291,103.8501084,ChIJlc4nPRIZ2jERO2NBz6LGnTg
IBS Software,"70 Palmer Rd, Singapore 079427",1.273269,103.847977,ChIJs1xgVxQZ2jERmzs1gCxZT3s
Evoque Data Center Solutions,"5030 Riverside Dr, Irving, TX 75039, United States",32.8594589,-96.9283095,ChIJBc4CfO2DToYRb9Ax9IxbIK8
Leica Geosystems part of Hexagon,"2 Woodlands Sector 1, #01-10 Woodlands Spectrum 1, Singapore 738068",1.4529962,103.8064042,ChIJ0Q8Wx24T2jERzSEwVhbCRlY
Oracle Developers,"80 Pasir Panjang Rd, Level 22 Mapletree Business City II, Singapore 117372",1.2758501,103.8007295,ChIJdcbLOscb2jERzhJJ_JnT_NY
Accion Labs,"Suite 3, Level 23, Plaza Sentral, Block 2B, Jalan Stesen Sentral 5, 50470 Kuala Lumpur, Wilayah Persekutuan, Malaysia",3.1320514,101.6841192,ChIJtY-Ly8FJzDERaZExBlJAJsw
Aera Technology,"Manikchand Icon, C Wing, Ground Floor, Dhole Patil Rd, Sangamvadi, Pune, Maharashtra 411001, India",18.5354042,73.878706,ChIJk31g44TBwjsR3xQSetVkTMM
Stone & Chalk,"10, Jalan Perdagangan 8, Skudai, 81300 Johor Bahru, Johor, Malaysia",1.5403627,103.6246069,ChIJl9034BF02jER0ohyoAbAH9k
