Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
AMR Automotive Group,"380 PARRAMATTA RD, PETERSHAM, NSW 2049, AU","Family owned dealership serving Sydney for over 40 years! providing new and used Mazda, Subaru and Renault
Also Dedicated Service centres for all our brands with fully qualified factory trained master technicians.
our sales show room operates 7 days a week and we are located at: 380 Parramatta Rd Petersham NSW 2049
Just down the road from Norton st Leichardt.
Come down and see your friend in the business!",null,Automative,51-200 employees,http://www.amrmotors.com.au,"PETERSHAM, NSW",Privately Held,1972,https://www.linkedin.com/company/amr-motors-pty-ltd-t-a-sydney-city-subaru/,"380 PARRAMATTA RD, PETERSHAM, NSW, 2049, AU",-33.84907,151.13834,PETERSHAM,MAZDA & SUBARU NEW VEHICLE SALES SHOWROOM,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Sinclair Automotive - Australia,"117 - 121 Great Western Hwy, Kingswood, NSW 2747, AU","Sinclair Ford was first established in November 1969 by Ross Sinclair who then sold the business in September 2000. The company has always prided itself on employing local people where possible and with a huge focus on customer service both before and after the sale.

The company cause is “To give our customers the best possible experience”.

The business started as a stand alone Ford dealership and has then progressed to be a multi franchise dealership, with Isuzu Ute and LDV and now Peugeot added to the stable.

The staff at Sinclair Ford are all highly trained and are experts in their respective fields – be it the car dealership showroom, our dedicated Ford workshop or our finance and sales team. If you’re looking for the most experienced and trained award winning staff to help you through the car buying process, visit the Sydney Ford dealership at Sinclair Ford and buy the best car for your needs.

http://www.sinclairford.com.au/
http://www.sinclairisuzuute.com.au/
http://www.sinclairldv.com.au/
http://www.sinclairpeugeot.com.au/",null,Automative,51-200 employees,http://www.sinclairautomotive.com.au,"Kingswood, NSW",Sole Proprietorship,1969,https://www.linkedin.com/company/sinclair-automotive---australia/,null,-33.865202,121.872683,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
IMPARTS AUTOMOTIVE PTY. LTD.,null,"IMPARTS AUTOMOTIVE PTY. LTD. is an automotive company based out of 280Hoddle St, Abbotsford, Victoria, Australia.",null,Automative,11-50 employees,http://www.imparts.com.au,"Abbotsford, Victoria",null,null,https://www.linkedin.com/company/imparts-automotive-pty-ltd-/,null,-33.779957,151.277308,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ZERO Automotive,"31-35 Conmurra Ave, Edwardstown, South Australia 5039, AU",Developing innovative vehicle strategies that change our environment for the better.,null,Automative,2-10 employees,http://www.zeroautomotive.com.au,"Edwardstown, South Australia",Privately Held,2018,https://www.linkedin.com/company/zero-automotive/,"31-35 Conmurra Ave, Edwardstown, South Australia, 5039, AU",-34.897945,138.59166,Edwardstown,Headquarters,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australian Automotive Group,null,null,null,Automative,null,http://austautogroup.com.au,null,null,null,https://www.linkedin.com/company/australian-automotive-group/,null,32.807809,-97.204778,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Remus Exhaust - REMUS Automotive,"8/159 Newlands Road, Coburg North VIC 3058, Melbourne,   AU","We are the Australia wide distributor for REMUS Sport Exhaust products (cars only).  

Our organisation is Australian owned & operated, and have been trading within the Car Exhaust industry for some 30 years.  Having represented some major Sports Exhaust brands we're proud to represent the premium, world renowned REMUS Sport Exhaust Brand. 

Remus Sport Exhaust offer a range of Car Exhaust products for mainly European luxury branded vehicles including (but not limited to) Abarth (Fiat), Alfa Romeo, Audi, Chevrolet, Chrysler, BMW, Citroen, Hummer, Jeep, Land Rover, Lexus, Lotus, Maserati, Mercedes, Mini, Peugeot, Porsche, Renault, Skoda, Volvo, VW. 

The REMUS Sport Exhaust story began some 21 years ago with only five employees and many good ideas.  Today, the family business REMUS Innovation is a world leader in sport Exhausts with a major presence in over 60 countries worldwide including Australia. 

You can be confident when you purchase a REMUS Sport exhaust it has been designed and calibrated specifically for your car.  It will surpass your expectations and deliver that deep mature REMUS racing sound that has become an icon the world over.

All Remus Sports Exhaust Systems, Remus Mufflers, Remus Tips, Remus Responder & Remus Powerizer products are manufactured in Europe.  

Contact us today for all your Remus Exhaust requirements!  03 9350 7111",null,Automative,11-50 employees,http://remusautomotive.com.au/,null,Public Company,null,https://www.linkedin.com/company/update-profile-picture-remus-exhaust---remus-automotive/,"8/159 Newlands Road, Melbourne, null, null, AU",-37.803425,145.01105,Melbourne,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Pit Lane Automotive and Performance,"20 Rosella St, Frankston, Victoria 3199, AU","Pit Lane Automotive opened in 2004 with a vision based on integrity, honesty and reliability. We believed there was a real need for a transparent, reliable mechanic that locals could rely on. A place where advice would be tailored specifically to the customer’s needs and the team working on their vehicle would know exactly how to achieve the best results from the customer’s vehicle whilst always keeping the customer and their family safe on the road at the same time.",397838122,Automative,2-10 employees,http://www.pitlaneautomotive.com,"Frankston, Victoria",Sole Proprietorship,2004,https://www.linkedin.com/company/pitlaneautomotiveandperformance/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Torque Automotive,null,null,null,Automative,null,http://torqueautomotive.com,"Slacks Creek, Queensland",null,null,https://www.linkedin.com/company/torque-automotive/,null,42.034676,-4.321418,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Neale Goad Automotive,"206 Burnbank Street, Wendouree, VIC 3355, AU","Neale Goad Automotive is more than just a service centre, our valued clients have access to complete auto care.

Neale Goad Automotive has a great reputation for high quality workmanship with personalised customer service at a fair price. Our independently owned & operated service centre is equipped with state-of-the-art facilities & fully trained technicians who competently care for your car. Trained to use the very latest computerised technology, they can quickly diagnose exactly what's best for your car.

Neale Goad Automotive understands that maintenance is one of the most serious aspects of car ownership. It determines the performance & reliability of which ever vehicle you drive & we aim to make it as easy as possible to get the best performance from your car. We carry out dealer services to the manufacturer's specifications to ensure your warranty is fully protected & your service books are kept up-to-date.

Our 24-hour roadside assistance service is ready to respond to any emergency.

Products and Services

Running a business is a busy process and Neale Goad Automotive provides a cost effective truck maintenance and repair service to keep you on the road. We understand the need to manage your fleet to maximise performance and minimise running costs. Our team of truck specialists will save you time and money with our premium fleet system.


Gas Fitting

Converting your car to LPG is a cost-effective alternative and our trained technicians have the skills to ensure it is done to the highest standard. Further more Neale Goad Automotive is the only authorised LPGAS1 installer in Western Victoria.

Car Detailing

The proudest moment of any car owner is when their car is at its best; however it is constantly subjected to a lot of abuse, including the sun, dirt and smog. We can help keep your car in top condition with a professional detail.",null,Automative,11-50 employees,http://www.nealegoadgroup.com.au,"Wendouree, VIC",Privately Held,1996,https://www.linkedin.com/company/neale-goad-automotive/,"206 Burnbank Street, Wendouree, VIC, 3355, AU",-37.53209,143.82254,Wendouree,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Xtime,null,"Xtime increases customer retention by transforming the ownership experience on behalf of the  automotive manufacturers and dealership service departments, thus increasing customer satisfaction while boosting dealer revenue and profitability. Xtime is committed to delivering the experience consumers demand – one that emphasizes value, convenience and trust.Xtime books 44 million service appointments and processes 120 million repair orders annually. Twenty-nine global OEMs have chosen Xtime to drive that same type of success for their businesses, converting $9 billion in service revenue for more than 7,500 dealerships across three continents.Xtime is a Cox Automotive™ brand. Cox Automotive, a subsidiary of Cox Enterprises Inc., is transforming the way the world buys, sells and owns cars with industry-leading digital marketing, wholesale and e-commerce solutions from a host of brands worldwide.",null,Automative,201-500 employees,http://www.xtime.com,"Mission, Kansas",Privately Held,2004,https://www.linkedin.com/company/xtime/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
